Category,Price,Origin
shirts,22.0,depop
shirts,18.0,depop
outerwear,25.0,depop
shirts,28.0,depop
outerwear,28.0,depop
bottoms,25.2,depop
outerwear,25.2,depop
bottoms,28.0,depop
bottoms,25.2,depop
bottoms,27.0,depop
shirts,29.0,depop
bottoms,35.0,depop
bottoms,22.0,depop
shirts,16.19,depop
outerwear,120.0,depop
shirts,22.5,depop
outerwear,22.5,depop
outerwear,35.1,depop
outerwear,23.75,depop
outerwear,20.7,depop
outerwear,22.5,depop
outerwear,22.5,depop
outerwear,27.0,depop
bottoms,25.5,depop
shirts,38.0,depop
shirts,20.69,depop
bottoms,21.24,depop
bottoms,22.49,depop
accessories,16.99,depop
bottoms,60.0,depop
bottoms,26.99,depop
bottoms,22.49,depop
outerwear,40.0,depop
bottoms,22.49,depop
outerwear,19.54,depop
outerwear,21.24,depop
outerwear,21.24,depop
outerwear,84.99,depop
outerwear,24.29,depop
outerwear,25.49,depop
outerwear,21.24,depop
outerwear,29.99,depop
outerwear,150.0,depop
outerwear,26.09,depop
shirts,18.69,depop
bottoms,26.99,depop
bottoms,26.99,depop
shirts,17.99,depop
shirts,21.24,depop
shirts,22.49,depop
shirts,24.99,depop
outerwear,36.89,depop
outerwear,89.99,depop
outerwear,34.99,depop
outerwear,44.99,depop
outerwear,22.49,depop
outerwear,25.49,depop
outerwear,23.0,depop
outerwear,39.0,depop
outerwear,39.0,depop
shirts,20.69,depop
shirts,22.99,depop
shirts,23.74,depop
bottoms,14.99,depop
bottoms,13.49,depop
bottoms,23.74,depop
shirts,80.0,depop
bottoms,22.0,depop
shirts,23.39,depop
outerwear,29.99,depop
outerwear,129.99,depop
outerwear,29.99,depop
outerwear,19.99,depop
outerwear,24.99,depop
outerwear,24.99,depop
outerwear,31.49,depop
outerwear,24.99,depop
outerwear,50.0,depop
shirts,89.99,depop
shirts,29.99,depop
shirts,29.99,depop
shirts,29.99,depop
shirts,29.99,depop
shirts,26.99,depop
bottoms,34.99,depop
shirts,29.99,depop
shirts,31.49,depop
outerwear,64.99,depop
outerwear,44.99,depop
outerwear,44.99,depop
shirts,34.99,depop
bottoms,39.99,depop
shirts,53.99,depop
outerwear,26.99,depop
bottoms,49.99,depop
outerwear,42.49,depop
shirts,29.99,depop
outerwear,39.99,depop
outerwear,129.99,depop
