ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Description,Title,Platform,Address,discountedPriceAmount,dateUpdated
411155199,15764563,P,male,shirts,tshirts,,Used - Fair,adidas,,22.0,,"Mexico Soccer Jersey
Size M 
Cond 9/10",quickstrikevtg mexico soccer jersey size m,Depop,"Grand Prairie, United States",,2024-02-28T14:20:04.823202Z
372568522,15764563,P,male,shirts,tshirts,,Used - Excellent,unbranded,,18.0,,"Camo Tee 
Size Small 
Cond 9/10",quickstrikevtg camo tee size small cond,Depop,"Dallas, United States",,2023-08-13T18:42:52.197112Z
366999594,15764563,P,male,outerwear,hoodies,,Used - Excellent,unbranded,,25.0,,"Vintage Pink Hoodie Blank 
Size: XXL 
Cond; 9/10",quickstrikevtg vintage pink hoodie blank size,Depop,"Grand Prairie, United States",,2023-08-13T06:38:50.224977Z
371512499,15764563,P,male,shirts,tshirts,,Used - Excellent,harley-davidson,,28.0,,"Harley Davidson Pirate Tee
Size: XLarge
Cond; 7/10",quickstrikevtg harley davidson pirate tee size,Depop,"Dallas, United States",,2023-08-08T13:39:07.168703Z
370327889,15764563,P,male,outerwear,sweatshirts,,Used - Excellent,pepe-jeans,,28.0,,"Pepe Jeans Crewneck 
Size Large
Cond 9/10 No Flaws",quickstrikevtg pepe jeans crewneck size large,Depop,"Grand Prairie, United States",,2023-08-02T19:34:46.935289Z
367125904,15764563,P,male,bottoms,jeans,,Used - Excellent,levi-s,,25.2,,"Vintage Levi Jeans 517
Size: 34W 30L 
Cond: 9/10",quickstrikevtg vintage levi jeans 517 size,Depop,"Grand Prairie, United States",25.2,2023-07-22T19:09:47.084871Z
367972545,15764563,P,male,outerwear,jumpers,,Used - Excellent,patagonia,,25.2,,"Patagonia quilted synchilla 
mens medium
no flaws 10/10",quickstrikevtg patagonia quilted synchilla mens medium,Depop,"Grand Prairie, United States",25.2,2023-07-22T02:05:46.681791Z
367972121,15764563,P,male,bottoms,jeans,,Used - Excellent,levi-s,,28.0,,"Vintage Levi 560 
34x34 
9/10 No flaws",quickstrikevtg vintage levi 560 34x34 910,Depop,"Grand Prairie, United States",,2023-07-22T02:02:42.626229Z
367970534,15764563,P,male,bottoms,jeans,,Used - Excellent,levi-s,,25.2,,"Vintage Levi 560 Jeans 
34x34 
9/10 cond no flaws",quickstrikevtg vintage levi 560 jeans 34x34,Depop,"Grand Prairie, United States",25.2,2023-07-22T01:50:11.195215Z
367061740,15764563,P,male,bottoms,jeans,,Used - Excellent,levi-s,,27.0,,"Vintage Levi 517 Jeans 
Size: 34W 30L 
Cond: 8/10",quickstrikevtg vintage levi 517 jeans size,Depop,"Grand Prairie, United States",27.0,2023-07-17T16:12:20.807735Z
367060458,15764563,P,male,shirts,tshirts,,Used - Excellent,unbranded,,29.0,,"Vintage 1970s LSU Jersey Shirt 
Size: Medium
Cond: 9/10",quickstrikevtg vintage 1970s lsu jersey shirt,Depop,"Grand Prairie, United States",,2023-07-17T16:05:16.3166Z
365732482,15764563,P,male,bottoms,shorts,,Used - Excellent,unbranded,"Grey,Navy",35.0,,"Y2K Akedemics Jean Shorts JORTS!!!
Size: 32W 
Cond: 9/10 No Flaws",quickstrikevtg y2k akedemics jean shorts jorts,Depop,"Grand Prairie, United States",,2023-07-10T19:36:49.137733Z
333618331,15764563,P,male,bottoms,jeans,,Used - Excellent,levi-s,,22.0,,"Vintage Levi 545 Denim
Size: 28Wx28L 
Cond: 7/10 Fading 

🚨 DM BEFORE PURCHASE",quickstrikevtg vintage levi 545 denim size,Depop,"Dallas, United States",,2023-06-17T00:41:47.803864Z
338258438,15764563,P,male,shirts,tshirts,,Used - Excellent,,,16.19,,"Vintage Thermal Shirt 
Size: Medium
Cond: 9/10 

🚨 DM BEFORE PURCHASING",quickstrikevtg vintage thermal shirt size medium,Depop,"Dallas, United States",16.19,2023-03-31T21:12:21.224948Z
345818539,15764563,P,male,outerwear,jackets,,Used - Excellent,,,120.0,,"CRAZY Vintage Barney & Baby Bop Varsity Jacket 
Size: Large/XLarge
Cond: 9/10 AMAZING Condition",quickstrikevtg crazy vintage barney baby,Depop,"Dallas, United States",,2023-03-24T16:38:09.96164Z
335634011,15764563,P,male,shirts,tshirts,,Used - Excellent,,,22.5,,"Vintage Dinosaur Graphic Tee
Size: XXLarge
Cond: 9/10 No Flaws

🚨 DM BEFORE PURCHASING",quickstrikevtg vintage dinosaur graphic tee size,Depop,"Dallas, United States",22.5,2023-03-19T14:07:06.508967Z
334289203,15764563,P,male,outerwear,jackets,,Used - Excellent,lacoste,,22.5,,"Vintage Lacoste Windbreaker 
Size: Large
Cond: 9/10 No Flaws

🚨 DM BEFORE PURCHASING",quickstrikevtg vintage lacoste windbreaker size large,Depop,"Dallas, United States",22.5,2023-03-19T14:06:59.17875Z
332257662,15764563,P,male,outerwear,shirts,,Used - Excellent,carhartt,"Tan,Cream",35.1,,"Carhartt Button Up Short Sleeve Shirt 
Size: Medium 
Cond: 8/10 No Flaws

🚨 MESSAGE BEFORE BUYING",quickstrikevtg carhartt button up short sleeve,Depop,"Dallas, United States",35.1,2023-03-17T17:54:46.11946Z
332072804,15764563,P,male,outerwear,sweatshirts,,Used - Excellent,,"White,Grey",23.75,,"Vintage Jaguar Car Crewneck 
Size: XL
Cond: 9/10 No Flaws

🚨 WE ACCEPT OFFERS DM BEFORE PURCHASING",quickstrikevtg vintage jaguar car crewneck size,Depop,"Dallas, United States",23.75,2023-03-02T05:01:31.464068Z
332108670,15764563,P,male,outerwear,polo-shirts,,Used - Excellent,nike,"Pink,White",20.7,,"OG Vintage Nike Pocket Polo Tee Pink 
Size: Tagged Medium
Cond: 9/10 No Flaws 

🚨 WE ACCEPT OFFERS MESSAGE BEFORE BUYING",quickstrikevtg og vintage nike pocket polo,Depop,"Dallas, United States",20.7,2023-03-02T05:01:18.886762Z
