,Category,Price,Origin
0,shirts,22.0,depop
1,shirts,18.0,depop
2,outerwear,25.0,depop
3,shirts,28.0,depop
4,outerwear,28.0,depop
5,bottoms,25.2,depop
6,outerwear,25.2,depop
7,bottoms,28.0,depop
8,bottoms,25.2,depop
9,bottoms,27.0,depop
10,shirts,29.0,depop
11,bottoms,35.0,depop
12,bottoms,22.0,depop
13,shirts,16.19,depop
14,outerwear,120.0,depop
15,shirts,22.5,depop
16,outerwear,22.5,depop
17,outerwear,35.1,depop
18,outerwear,23.75,depop
19,outerwear,20.7,depop
20,outerwear,22.5,depop
21,outerwear,22.5,depop
22,outerwear,27.0,depop
23,bottoms,25.5,depop
24,shirts,38.0,depop
25,shirts,20.69,depop
26,bottoms,21.24,depop
27,bottoms,22.49,depop
28,accessories,16.99,depop
29,bottoms,60.0,depop
30,bottoms,26.99,depop
31,bottoms,22.49,depop
32,outerwear,40.0,depop
33,bottoms,22.49,depop
34,outerwear,19.54,depop
35,outerwear,21.24,depop
36,outerwear,21.24,depop
37,outerwear,84.99,depop
38,outerwear,24.29,depop
39,outerwear,25.49,depop
40,outerwear,21.24,depop
41,outerwear,29.99,depop
42,outerwear,150.0,depop
43,outerwear,26.09,depop
44,shirts,18.69,depop
45,bottoms,26.99,depop
46,bottoms,26.99,depop
47,shirts,17.99,depop
48,shirts,21.24,depop
49,shirts,22.49,depop
50,shirts,24.99,depop
51,outerwear,36.89,depop
52,outerwear,89.99,depop
53,outerwear,34.99,depop
54,outerwear,44.99,depop
55,outerwear,22.49,depop
56,outerwear,25.49,depop
57,outerwear,23.0,depop
58,outerwear,39.0,depop
59,outerwear,39.0,depop
60,shirts,20.69,depop
61,shirts,22.99,depop
62,shirts,23.74,depop
63,bottoms,14.99,depop
64,bottoms,13.49,depop
65,bottoms,23.74,depop
66,shirts,80.0,depop
67,bottoms,22.0,depop
68,shirts,23.39,depop
69,outerwear,29.99,depop
70,outerwear,129.99,depop
71,outerwear,29.99,depop
72,outerwear,19.99,depop
73,outerwear,24.99,depop
74,outerwear,24.99,depop
75,outerwear,31.49,depop
76,outerwear,24.99,depop
77,outerwear,50.0,depop
78,shirts,89.99,depop
79,shirts,29.99,depop
80,shirts,29.99,depop
81,shirts,29.99,depop
82,shirts,29.99,depop
83,shirts,26.99,depop
84,bottoms,34.99,depop
85,shirts,29.99,depop
86,shirts,31.49,depop
87,outerwear,64.99,depop
88,outerwear,44.99,depop
89,outerwear,44.99,depop
90,shirts,34.99,depop
91,bottoms,39.99,depop
92,shirts,53.99,depop
93,outerwear,26.99,depop
94,bottoms,49.99,depop
95,outerwear,42.49,depop
96,shirts,29.99,depop
97,outerwear,39.99,depop
98,outerwear,129.99,depop
99,outerwear,49.99,depop
100,bottoms,49.99,depop
101,outerwear,39.99,depop
102,outerwear,49.99,depop
103,outerwear,44.99,depop
104,outerwear,32.99,depop
105,shirts,34.99,depop
106,shirts,300.0,depop
107,outerwear,90.0,depop
108,outerwear,60.0,depop
109,outerwear,27.0,depop
110,outerwear,55.0,depop
111,outerwear,25.0,depop
112,outerwear,65.0,depop
113,shirts,4.0,depop
114,shirts,35.0,depop
115,outerwear,52.25,depop
116,accessories,30.0,depop
117,shirts,40.0,depop
118,accessories,20.0,depop
119,outerwear,55.0,depop
120,outerwear,60.0,depop
121,outerwear,110.0,depop
122,accessories,35.0,depop
123,accessories,35.0,depop
124,outerwear,180.0,depop
125,shirts,70.0,depop
126,shirts,35.0,depop
127,shirts,50.0,depop
128,shirts,35.0,depop
129,shirts,65.0,depop
130,accessories,50.0,depop
131,outerwear,30.0,depop
132,shirts,20.0,depop
133,shirts,50.0,depop
134,outerwear,52.0,depop
135,footwear,125.0,depop
136,outerwear,26.0,depop
137,outerwear,35.0,depop
138,shirts,10.0,depop
139,shirts,200.0,depop
140,outerwear,120.0,depop
141,shirts,60.0,depop
142,outerwear,30.0,depop
143,shirts,5.0,depop
144,shirts,12.5,depop
145,shirts,65.0,depop
146,shirts,100.0,depop
147,shirts,20.0,depop
148,outerwear,35.0,depop
149,accessories,20.0,depop
150,accessories,20.0,depop
151,shirts,15.0,depop
152,shirts,20.0,depop
153,outerwear,20.0,depop
154,outerwear,20.0,depop
155,outerwear,20.0,depop
156,shirts,20.0,depop
157,shirts,20.0,depop
158,shirts,21.0,depop
159,shirts,25.0,depop
160,shirts,35.0,depop
161,shirts,20.0,depop
162,shirts,25.0,depop
163,shirts,20.0,depop
164,shirts,24.5,depop
165,shirts,25.0,depop
166,shirts,11.0,depop
167,shirts,15.0,depop
168,accessories,16.0,depop
169,shirts,15.0,depop
170,shirts,21.0,depop
171,shirts,25.0,depop
172,shirts,15.0,depop
173,shirts,15.0,depop
174,shirts,11.0,depop
175,shirts,15.0,depop
176,outerwear,16.0,depop
177,shirts,16.0,depop
178,shirts,16.0,depop
179,shirts,20.0,depop
180,outerwear,10.0,depop
181,shirts,15.0,depop
182,shirts,20.0,depop
183,outerwear,10.0,depop
184,shirts,20.0,depop
185,shirts,15.0,depop
186,shirts,10.0,depop
187,shirts,11.0,depop
188,shirts,15.0,depop
189,shirts,10.0,depop
190,shirts,10.0,depop
191,shirts,15.0,depop
192,shirts,10.0,depop
193,outerwear,5.0,depop
194,shirts,11.0,depop
195,shirts,10.0,depop
196,shirts,15.0,depop
197,shirts,15.0,depop
198,shirts,20.0,depop
199,outerwear,25.0,depop
200,outerwear,21.0,depop
201,outerwear,5.0,depop
202,outerwear,15.0,depop
203,outerwear,5.0,depop
204,shirts,10.0,depop
205,shirts,10.0,depop
206,shirts,18.5,depop
207,shirts,10.0,depop
208,shirts,15.0,depop
209,bottoms,60.0,depop
210,outerwear,80.0,depop
211,outerwear,80.0,depop
212,bottoms,40.0,depop
213,outerwear,80.0,depop
214,outerwear,60.0,depop
215,outerwear,70.0,depop
216,outerwear,100.0,depop
217,outerwear,40.0,depop
218,outerwear,475.0,depop
219,outerwear,400.0,depop
220,outerwear,195.0,depop
221,outerwear,275.0,depop
222,bottoms,30.0,depop
223,shirts,10.0,depop
224,bottoms,70.0,depop
225,bottoms,50.0,depop
226,shirts,15.0,depop
227,outerwear,160.0,depop
228,bottoms,300.0,depop
229,accessories,100.0,depop
230,outerwear,30.0,depop
231,shirts,20.0,depop
232,bottoms,175.0,depop
233,outerwear,20.0,depop
234,outerwear,12.0,depop
235,outerwear,15.0,depop
236,bottoms,20.0,depop
237,bottoms,25.0,depop
238,bottoms,175.0,depop
239,bottoms,70.0,depop
240,bottoms,45.0,depop
241,bottoms,60.0,depop
242,bottoms,75.0,depop
243,outerwear,25.0,depop
244,outerwear,20.0,depop
245,outerwear,20.0,depop
246,outerwear,25.0,depop
247,outerwear,30.0,depop
248,bottoms,45.0,depop
249,outerwear,400.0,depop
250,outerwear,300.0,depop
251,outerwear,240.0,depop
252,outerwear,160.0,depop
253,outerwear,140.0,depop
254,shirts,10.0,depop
255,outerwear,130.0,depop
256,shirts,30.0,depop
257,bottoms,40.0,depop
258,outerwear,15.0,depop
259,shirts,15.0,depop
260,shirts,25.0,depop
261,shirts,14.0,depop
262,outerwear,30.0,depop
263,shirts,22.0,depop
264,outerwear,25.0,depop
265,outerwear,20.0,depop
266,shirts,15.0,depop
267,shirts,35.0,depop
268,shirts,15.0,depop
269,shirts,24.0,depop
270,outerwear,30.0,depop
271,outerwear,24.0,depop
272,shirts,12.0,depop
273,shirts,10.0,depop
274,shirts,12.0,depop
275,shirts,15.0,depop
276,outerwear,15.0,depop
277,outerwear,8.0,depop
278,outerwear,15.0,depop
279,outerwear,20.0,depop
280,shirts,25.0,depop
281,outerwear,14.0,depop
282,bottoms,10.0,depop
283,shirts,14.0,depop
284,shirts,7.6,depop
285,shirts,11.0,depop
286,outerwear,20.0,depop
287,bottoms,30.0,depop
288,bottoms,50.0,depop
289,bottoms,30.0,depop
290,bottoms,30.0,depop
291,bottoms,35.0,depop
292,bottoms,35.0,depop
293,bottoms,40.0,depop
294,shirts,10.0,depop
295,bottoms,27.0,depop
296,outerwear,40.0,depop
297,shirts,15.0,depop
298,shirts,10.0,depop
299,bottoms,20.0,depop
300,bottoms,15.0,depop
301,bottoms,25.0,depop
302,outerwear,20.0,depop
303,outerwear,15.0,depop
304,outerwear,15.0,depop
305,outerwear,10.0,depop
306,outerwear,20.0,depop
307,shirts,8.0,depop
308,bottoms,20.0,depop
309,bottoms,45.0,depop
310,bottoms,85.0,depop
311,shirts,18.0,depop
312,bottoms,80.0,depop
313,bottoms,50.0,depop
314,footwear,120.0,depop
315,bottoms,70.0,depop
316,outerwear,25.0,depop
317,bottoms,50.0,depop
318,outerwear,20.0,depop
319,outerwear,200.0,depop
320,outerwear,325.0,depop
321,outerwear,375.0,depop
322,outerwear,290.0,depop
323,outerwear,400.0,depop
324,outerwear,70.0,depop
325,outerwear,20.0,depop
326,outerwear,75.0,depop
327,outerwear,50.0,depop
328,outerwear,15.0,depop
329,outerwear,25.0,depop
330,outerwear,25.0,depop
331,outerwear,275.0,depop
332,shirts,18.0,depop
333,outerwear,20.0,depop
334,outerwear,15.0,depop
335,bottoms,45.0,depop
336,shirts,25.0,depop
337,outerwear,20.0,depop
338,shirts,10.0,depop
339,shirts,12.0,depop
340,bottoms,40.0,depop
341,outerwear,36.0,depop
342,shirts,20.0,depop
343,outerwear,60.0,depop
344,outerwear,20.0,depop
345,shirts,30.0,depop
346,outerwear,50.0,depop
347,bottoms,27.0,depop
348,bottoms,22.0,depop
349,outerwear,18.0,depop
350,accessories,30.0,depop
351,bottoms,17.0,depop
352,shirts,25.0,depop
353,bottoms,30.0,depop
354,accessories,15.0,depop
355,shirts,15.0,depop
356,bottoms,30.0,depop
357,bottoms,18.0,depop
358,bottoms,25.0,depop
359,outerwear,28.0,depop
360,shirts,20.0,depop
361,bottoms,14.0,depop
362,bottoms,14.0,depop
363,bottoms,14.0,depop
364,outerwear,15.0,depop
365,shirts,12.0,depop
366,shirts,11.0,depop
367,outerwear,8.0,depop
368,shirts,10.0,depop
369,outerwear,7.6,depop
370,shirts,8.0,depop
371,outerwear,400.0,depop
372,outerwear,300.0,depop
373,outerwear,300.0,depop
374,outerwear,275.0,depop
375,outerwear,185.0,depop
376,outerwear,215.0,depop
377,outerwear,210.0,depop
378,shirts,30.0,depop
379,shirts,12.0,depop
380,shirts,10.0,depop
381,outerwear,15.0,depop
382,bottoms,25.0,depop
383,bottoms,20.0,depop
384,outerwear,290.0,depop
385,shirts,10.0,depop
386,outerwear,30.0,depop
387,bottoms,25.0,depop
388,outerwear,14.0,depop
389,bottoms,85.0,depop
390,outerwear,75.0,depop
391,shirts,10.0,depop
392,shirts,10.0,depop
393,shirts,13.0,depop
394,outerwear,25.0,depop
395,accessories,10.0,depop
396,outerwear,25.0,depop
397,shirts,45.0,depop
398,outerwear,269.5,depop
399,shirts,22.5,depop
400,outerwear,315.0,depop
401,outerwear,297.0,depop
402,outerwear,270.0,depop
403,outerwear,71.0,depop
404,bottoms,25.0,depop
405,outerwear,315.0,depop
406,outerwear,150.0,depop
