,Category,Price,Origin
0,shirts,22.0,depop
1,shirts,18.0,depop
2,outerwear,25.0,depop
3,shirts,28.0,depop
5,outerwear,28.0,depop
6,bottoms,25.2,depop
7,outerwear,25.2,depop
8,bottoms,28.0,depop
9,bottoms,25.2,depop
10,bottoms,27.0,depop
11,shirts,29.0,depop
13,bottoms,35.0,depop
19,bottoms,22.0,depop
45,shirts,16.19,depop
50,outerwear,120.0,depop
56,shirts,22.5,depop
57,outerwear,22.5,depop
58,outerwear,35.1,depop
67,outerwear,23.75,depop
68,outerwear,20.7,depop
69,outerwear,22.5,depop
70,outerwear,22.5,depop
71,outerwear,27.0,depop
93,bottoms,25.5,depop
95,shirts,38.0,depop
96,shirts,20.69,depop
97,bottoms,21.24,depop
98,bottoms,22.49,depop
99,accessories,16.99,depop
100,bottoms,60.0,depop
101,bottoms,26.99,depop
102,bottoms,22.49,depop
103,outerwear,40.0,depop
104,bottoms,22.49,depop
105,outerwear,19.54,depop
106,outerwear,21.24,depop
107,outerwear,21.24,depop
108,outerwear,84.99,depop
109,outerwear,24.29,depop
110,outerwear,25.49,depop
111,outerwear,21.24,depop
112,outerwear,29.99,depop
113,outerwear,150.0,depop
114,outerwear,26.09,depop
115,shirts,18.69,depop
116,bottoms,26.99,depop
117,bottoms,26.99,depop
118,shirts,17.99,depop
119,shirts,21.24,depop
120,shirts,22.49,depop
121,shirts,24.99,depop
122,outerwear,36.89,depop
123,outerwear,89.99,depop
124,outerwear,34.99,depop
125,outerwear,44.99,depop
126,outerwear,22.49,depop
127,outerwear,25.49,depop
128,outerwear,23.0,depop
129,outerwear,39.0,depop
130,outerwear,39.0,depop
131,shirts,20.69,depop
132,shirts,22.99,depop
133,shirts,23.74,depop
134,bottoms,14.99,depop
135,bottoms,13.49,depop
136,bottoms,23.74,depop
137,shirts,80.0,depop
138,bottoms,22.0,depop
139,shirts,23.39,depop
140,outerwear,29.99,depop
141,outerwear,129.99,depop
142,outerwear,29.99,depop
143,outerwear,19.99,depop
144,outerwear,24.99,depop
145,outerwear,24.99,depop
146,outerwear,31.49,depop
147,outerwear,24.99,depop
148,outerwear,50.0,depop
149,shirts,89.99,depop
150,shirts,29.99,depop
151,shirts,29.99,depop
152,shirts,29.99,depop
153,shirts,29.99,depop
154,shirts,26.99,depop
155,bottoms,34.99,depop
156,shirts,29.99,depop
157,shirts,31.49,depop
158,outerwear,64.99,depop
159,outerwear,44.99,depop
160,outerwear,44.99,depop
161,shirts,34.99,depop
162,bottoms,39.99,depop
163,shirts,53.99,depop
164,outerwear,26.99,depop
165,bottoms,49.99,depop
166,outerwear,42.49,depop
167,shirts,29.99,depop
168,outerwear,39.99,depop
169,outerwear,129.99,depop
170,outerwear,49.99,depop
171,bottoms,49.99,depop
172,outerwear,39.99,depop
173,outerwear,49.99,depop
174,outerwear,44.99,depop
175,outerwear,32.99,depop
176,shirts,34.99,depop
177,shirts,300.0,depop
178,outerwear,90.0,depop
179,outerwear,60.0,depop
180,outerwear,27.0,depop
181,outerwear,55.0,depop
182,outerwear,25.0,depop
183,outerwear,65.0,depop
184,shirts,4.0,depop
185,shirts,35.0,depop
186,outerwear,52.25,depop
188,accessories,30.0,depop
189,shirts,40.0,depop
190,accessories,20.0,depop
191,outerwear,55.0,depop
192,outerwear,60.0,depop
193,outerwear,110.0,depop
194,accessories,35.0,depop
195,accessories,35.0,depop
196,outerwear,180.0,depop
197,shirts,70.0,depop
198,shirts,35.0,depop
199,shirts,50.0,depop
200,shirts,35.0,depop
201,shirts,65.0,depop
202,accessories,50.0,depop
203,outerwear,30.0,depop
204,shirts,20.0,depop
205,shirts,50.0,depop
206,outerwear,52.0,depop
207,footwear,125.0,depop
208,outerwear,26.0,depop
209,outerwear,35.0,depop
210,shirts,10.0,depop
211,shirts,200.0,depop
212,outerwear,120.0,depop
213,shirts,60.0,depop
214,outerwear,30.0,depop
215,shirts,5.0,depop
216,shirts,12.5,depop
217,shirts,65.0,depop
218,shirts,100.0,depop
219,shirts,20.0,depop
220,outerwear,35.0,depop
221,accessories,20.0,depop
222,accessories,20.0,depop
223,shirts,15.0,depop
224,shirts,20.0,depop
225,outerwear,20.0,depop
226,outerwear,20.0,depop
227,outerwear,20.0,depop
228,shirts,20.0,depop
229,shirts,20.0,depop
231,shirts,21.0,depop
232,shirts,25.0,depop
233,shirts,35.0,depop
234,shirts,20.0,depop
235,shirts,25.0,depop
236,shirts,20.0,depop
237,shirts,24.5,depop
238,shirts,25.0,depop
239,shirts,11.0,depop
240,shirts,15.0,depop
241,accessories,16.0,depop
242,shirts,15.0,depop
243,shirts,21.0,depop
244,shirts,25.0,depop
245,shirts,15.0,depop
246,shirts,15.0,depop
247,shirts,11.0,depop
248,shirts,15.0,depop
249,outerwear,16.0,depop
250,shirts,16.0,depop
251,shirts,16.0,depop
252,shirts,20.0,depop
253,outerwear,10.0,depop
254,shirts,15.0,depop
255,shirts,20.0,depop
256,outerwear,10.0,depop
257,shirts,20.0,depop
258,shirts,15.0,depop
259,shirts,10.0,depop
260,shirts,11.0,depop
261,shirts,15.0,depop
262,shirts,10.0,depop
263,shirts,10.0,depop
264,shirts,15.0,depop
265,shirts,10.0,depop
266,outerwear,5.0,depop
267,shirts,11.0,depop
268,shirts,10.0,depop
269,shirts,15.0,depop
270,shirts,15.0,depop
271,shirts,20.0,depop
272,outerwear,25.0,depop
273,outerwear,21.0,depop
274,outerwear,5.0,depop
275,outerwear,15.0,depop
276,outerwear,5.0,depop
277,shirts,10.0,depop
278,shirts,10.0,depop
279,shirts,18.5,depop
280,shirts,10.0,depop
281,shirts,15.0,depop
282,bottoms,60.0,depop
283,outerwear,80.0,depop
284,outerwear,80.0,depop
285,bottoms,40.0,depop
286,outerwear,80.0,depop
287,outerwear,60.0,depop
288,outerwear,70.0,depop
289,outerwear,100.0,depop
290,outerwear,40.0,depop
291,outerwear,475.0,depop
292,outerwear,400.0,depop
293,outerwear,195.0,depop
294,outerwear,275.0,depop
296,bottoms,30.0,depop
297,shirts,10.0,depop
298,bottoms,70.0,depop
299,bottoms,50.0,depop
300,shirts,15.0,depop
301,outerwear,160.0,depop
302,bottoms,300.0,depop
303,accessories,100.0,depop
304,outerwear,30.0,depop
305,shirts,20.0,depop
306,bottoms,175.0,depop
307,outerwear,20.0,depop
308,outerwear,12.0,depop
309,outerwear,15.0,depop
310,bottoms,20.0,depop
311,bottoms,25.0,depop
312,bottoms,175.0,depop
313,bottoms,70.0,depop
314,bottoms,45.0,depop
315,bottoms,60.0,depop
316,bottoms,75.0,depop
317,outerwear,25.0,depop
318,outerwear,20.0,depop
319,outerwear,20.0,depop
320,outerwear,25.0,depop
321,outerwear,30.0,depop
322,bottoms,45.0,depop
323,outerwear,400.0,depop
324,outerwear,300.0,depop
325,outerwear,240.0,depop
326,outerwear,160.0,depop
327,outerwear,140.0,depop
328,shirts,10.0,depop
329,outerwear,130.0,depop
330,shirts,30.0,depop
331,bottoms,40.0,depop
332,outerwear,15.0,depop
333,shirts,15.0,depop
334,shirts,25.0,depop
335,shirts,14.0,depop
336,outerwear,30.0,depop
337,shirts,22.0,depop
338,outerwear,25.0,depop
339,outerwear,20.0,depop
340,shirts,15.0,depop
341,shirts,35.0,depop
342,shirts,15.0,depop
343,shirts,24.0,depop
344,outerwear,30.0,depop
345,outerwear,24.0,depop
346,shirts,12.0,depop
347,shirts,10.0,depop
348,shirts,12.0,depop
349,shirts,15.0,depop
350,outerwear,15.0,depop
351,outerwear,8.0,depop
352,outerwear,15.0,depop
353,outerwear,20.0,depop
354,shirts,25.0,depop
355,outerwear,14.0,depop
356,bottoms,10.0,depop
357,shirts,14.0,depop
358,shirts,7.6,depop
359,shirts,11.0,depop
360,outerwear,20.0,depop
361,bottoms,30.0,depop
362,bottoms,50.0,depop
363,bottoms,30.0,depop
364,bottoms,30.0,depop
365,bottoms,35.0,depop
366,bottoms,35.0,depop
367,bottoms,40.0,depop
368,shirts,10.0,depop
369,bottoms,27.0,depop
370,outerwear,40.0,depop
371,shirts,15.0,depop
372,shirts,10.0,depop
373,bottoms,20.0,depop
374,bottoms,15.0,depop
375,bottoms,25.0,depop
376,outerwear,20.0,depop
377,outerwear,15.0,depop
378,outerwear,15.0,depop
379,outerwear,10.0,depop
380,outerwear,20.0,depop
381,shirts,8.0,depop
382,bottoms,20.0,depop
383,bottoms,45.0,depop
384,bottoms,85.0,depop
385,shirts,18.0,depop
386,bottoms,80.0,depop
387,bottoms,50.0,depop
388,footwear,120.0,depop
389,bottoms,70.0,depop
390,outerwear,25.0,depop
391,bottoms,50.0,depop
392,outerwear,20.0,depop
393,outerwear,200.0,depop
394,outerwear,325.0,depop
395,outerwear,375.0,depop
396,outerwear,290.0,depop
397,outerwear,400.0,depop
398,outerwear,70.0,depop
399,outerwear,20.0,depop
400,outerwear,75.0,depop
401,outerwear,50.0,depop
402,outerwear,15.0,depop
403,outerwear,25.0,depop
404,outerwear,25.0,depop
405,outerwear,275.0,depop
406,shirts,18.0,depop
407,outerwear,20.0,depop
408,outerwear,15.0,depop
409,bottoms,45.0,depop
410,shirts,25.0,depop
411,outerwear,20.0,depop
412,shirts,10.0,depop
413,shirts,12.0,depop
414,bottoms,40.0,depop
415,outerwear,36.0,depop
416,shirts,20.0,depop
417,outerwear,60.0,depop
418,outerwear,20.0,depop
419,shirts,30.0,depop
420,outerwear,50.0,depop
421,bottoms,27.0,depop
422,bottoms,22.0,depop
423,outerwear,18.0,depop
424,accessories,30.0,depop
425,bottoms,17.0,depop
426,shirts,25.0,depop
427,bottoms,30.0,depop
428,accessories,15.0,depop
429,shirts,15.0,depop
430,bottoms,30.0,depop
431,bottoms,18.0,depop
432,bottoms,25.0,depop
433,outerwear,28.0,depop
434,shirts,20.0,depop
435,bottoms,14.0,depop
436,bottoms,14.0,depop
437,bottoms,14.0,depop
438,outerwear,15.0,depop
439,shirts,12.0,depop
440,shirts,11.0,depop
441,outerwear,8.0,depop
442,shirts,10.0,depop
443,outerwear,7.6,depop
444,shirts,8.0,depop
445,outerwear,400.0,depop
446,outerwear,300.0,depop
447,outerwear,300.0,depop
448,outerwear,275.0,depop
449,outerwear,185.0,depop
450,outerwear,215.0,depop
451,outerwear,210.0,depop
452,shirts,30.0,depop
453,shirts,12.0,depop
454,shirts,10.0,depop
455,outerwear,15.0,depop
456,bottoms,25.0,depop
457,bottoms,20.0,depop
458,outerwear,290.0,depop
459,shirts,10.0,depop
460,outerwear,30.0,depop
461,bottoms,25.0,depop
462,outerwear,14.0,depop
463,bottoms,85.0,depop
464,outerwear,75.0,depop
465,shirts,10.0,depop
466,shirts,10.0,depop
467,shirts,13.0,depop
468,outerwear,25.0,depop
469,accessories,10.0,depop
470,outerwear,25.0,depop
471,shirts,45.0,depop
472,outerwear,269.5,depop
473,shirts,22.5,depop
474,outerwear,315.0,depop
475,outerwear,297.0,depop
476,outerwear,270.0,depop
477,outerwear,71.0,depop
478,bottoms,25.0,depop
479,outerwear,315.0,depop
480,outerwear,150.0,depop
