,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average,Cont.
0,Canada,29335066.0,32389653.0,34001591.0,47759774.0,59430770.0,79671476.0,95173570.0,117102665.0,152687680.0,205063498.0,250040068.0,272652543.0,261994552.0,263035083.0,255108883.0,235362288.0,183239884.0,130783169.0,89285328.0,48649279.0,38383267.0,40065054.9815429,39566079.0552954,35142083.1345067,33604619.8081452,34514140.5043007,37248309.9698988,35103578.9817092,33436053.4668141,35566270.4726408,34216303.3107566,33988265.2041541,35179154.1473128,29866480.0708491,98195484.70905666,N. America
1,Mexico,79435971.0,89710907.0,120719891.0,145675468.0,171115330.0,217904364.0,395728590.0,535223654.0,808020999.0,1087002952.0,1301715427.0,1416516607.0,1273218536.0,1254264600.0,1158348601.0,1146793300.0,1014484222.0,887176964.0,761314736.0,702448850.0,606024628.0,628563585.779707,581538460.103395,525362468.796756,533802296.555727,528848769.919618,505105360.355656,467191539.686415,459274307.437762,467188677.810208,429867956.012404,294640108.310184,399583607.284645,369726079.785363,628339347.4952307,N. America
2,Guatemala,24161526.0,31622954.0,44536983.0,54625777.0,67589565.0,71041993.0,73875320.0,74652347.0,85918706.0,106114782.0,132554023.0,150651386.0,170421010.0,197556237.0,220473974.0,259703925.0,242808971.0,207532515.0,176196646.0,155535291.0,120311952.0,117633121.752181,106356450.673633,97774876.9071954,99396507.3348055,96571584.758901,100171410.867148,88477100.0229015,83977467.5247419,96746862.2054209,98768687.7871026,85905388.0924199,118667726.933326,138281218.802229,117547479.01947077,N. America
3,El Salvador,11502147.0,14261959.0,17791834.0,28055841.0,40992443.0,63318985.0,85500914.0,97316707.0,134519687.0,168990073.0,215439073.0,263241964.0,258973660.0,274465875.0,319246738.0,323312616.0,310340136.0,244561064.0,263194584.0,279668016.0,214039581.0,284013730.859589,258273283.331358,245880344.370302,231319363.156652,229127192.64345,229512705.883402,218592822.402673,207606271.29786,176527778.968182,167605291.955822,123778631.074186,165957578.655691,146995281.091454,185703652.13795945,N. America
4,Honduras,10141514.0,16429065.0,28565328.0,48995720.0,68058749.0,88592819.0,122087084.0,183818266.0,263310692.0,324612607.0,408513944.0,454554017.0,445902055.0,470108834.0,525207851.0,560450600.0,553075763.0,531549770.0,514356077.0,518807982.0,379460356.0,429508038.350537,412000913.636806,349589387.984634,331688422.097361,342844126.839718,373303220.478294,344628186.240858,326872990.085891,305516038.542435,314675383.269566,211410671.479975,298892323.771742,319954671.053776,319925984.3185763,N. America
5,Costa Rica,33477803.0,36937282.0,42953761.0,61670375.0,70886175.0,78292560.0,86929601.0,85062603.0,99733240.0,101180085.0,111489737.0,118369433.0,108510311.0,117642767.0,109970779.0,109941376.0,99334097.0,91983662.0,77204652.0,42442946.0,20498800.0,14140727.5836529,9611749.47992256,9902423.15992813,5828711.56266892,4231567.91680751,163385.005122637,538872.083639341,728106.217050631,692168.190443667,1004158.57948621,682755.087450643,703600.17096256,875959.572527953,51576947.92969599,N. America
6,Panama,6377044.0,10041939.0,10463732.0,6061947.0,5430619.0,5261459.0,3649805.0,2020069.0,1237921.0,1235088.0,728408.0,219296.0,269671.0,255111.0,250864.0,140611.0,328064.0,302882.0,253888.0,234128.0,264650.0,118784.370871089,178231.439820168,87613.6853678688,132085.069024961,128101.534667152,57305.6389113138,62161.5881355881,60160.315152815,101011.768068884,117287.622130581,46493.6721741198,55609.8344095014,90459.8631725166,1654779.4824090167,N. America
7,Bahamas,3945.0,674.0,3158.0,2851.0,156.0,124.0,1374.0,829.0,5994.0,33133.0,223.0,276.0,1114.0,12758.0,1379.0,1127.0,1596.0,2333.0,1770.0,975.0,620.0,5571.6216900876,1086.8197825926,911.0461523814,5480.3944317276,1025.7264000396,979.1868296196,544.4003177298,80.1861080683041,16302.8769953994,728.2942321536,295.2482693328,27144.8076320442,182.2812334308,4021.82029631198,N. America
8,Jamaica,27293928.0,28132502.0,38000385.0,48259899.0,56388759.0,70776937.0,84521412.0,85059393.0,85952846.0,74751731.0,52190401.0,34093787.0,25967203.0,22693244.0,17126848.0,13270638.0,7936431.0,6235487.0,4311274.0,2370274.0,120912.0,27025.366503177,32143.3748708814,14502.3659558568,16578.0471107916,4124.1539674566,1323.3642591582,650.051535987,1119.4258819706,5415.6147007284,591.0013971036,400.3639849062,866.4821437356,112.8764259378,23104680.690845225,N. America
9,Haiti,13455641.0,13653448.0,12064179.0,3109756.0,7587125.0,3036989.0,7011232.0,11602040.0,20343567.0,34964599.0,46703077.0,49266827.0,40620312.0,41396365.0,64385247.0,88760977.0,122763465.0,134543424.0,134576011.0,149593833.0,152776815.0,134560382.161293,153954946.617706,145491246.72582,145703568.832418,152043277.897363,162011747.019329,139981884.201236,122796772.631673,137801541.627702,131151671.902389,97738111.2576848,121522250.292226,108570143.45196,85457131.57702352,N. America
10,Dominican Republic,53359901.0,60720137.0,78570365.0,101674374.0,127123650.0,141835973.0,156428130.0,145009871.0,193671245.0,233101742.0,254528849.0,253419146.0,222395720.0,218917137.0,207003298.0,208670877.0,195576414.0,172292284.0,107750187.0,89928068.0,58253755.0,70711977.8108269,70749982.0639355,68686612.0336893,72033821.0836303,85574086.1606607,96384417.8794111,99985815.5449979,95046261.8438406,109521684.231751,99097146.9725513,78808444.9077361,100461577.485416,110460325.425843,130522155.18953794,N. America
